[ 2019-07-18 11:50:12 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:13 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:15 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:16 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:17 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:18 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:19 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:20 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:22 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:23 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:24 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:25 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:26 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:27 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
